nodes,techs,area_use
ESP_1,existing_open_field_pv,0.33777
ESP_1,existing_rooftop_pv,0.0041340000000000005
ESP_1,open_field_pv_CN,0.0
ESP_1,open_field_pv_DE,5.399126328954199e-07
ESP_1,open_field_pv_ESP,0.0
ESP_1,open_field_pv_MY,4.83570703931646e-07
ESP_1,open_field_pv_NL,6.091582689231877e-07
ESP_1,open_field_pv_PT,3.747820878159713e-07
ESP_1,roof_mounted_pv_CN,0.0
ESP_1,roof_mounted_pv_DE,0.0
ESP_1,roof_mounted_pv_ESP,0.0
ESP_1,roof_mounted_pv_MY,0.0
ESP_1,roof_mounted_pv_NL,0.0
ESP_1,roof_mounted_pv_PT,0.0
ESP_1,wind_onshore_competing_CN,0.00018902701965131958
ESP_1,wind_onshore_competing_DE,0.00019680849601295196
ESP_1,wind_onshore_competing_ESP,9.840391215334645e-07
ESP_1,wind_onshore_competing_FR,0.00019821431367206334
ESP_1,wind_onshore_competing_NDL,0.00020142399381579344
ESP_1,wind_onshore_competing_PT,0.000198771785143888
ESP_10,existing_open_field_pv,8.5189725
ESP_10,existing_rooftop_pv,0.1043676
ESP_10,open_field_pv_CN,1.0793600812125689e-07
ESP_10,open_field_pv_DE,7.305858377302962e-06
ESP_10,open_field_pv_ESP,0.0
ESP_10,open_field_pv_MY,3.0575244062117914e-06
ESP_10,open_field_pv_NL,14.632518984089591
ESP_10,open_field_pv_PT,1.0145964394643224e-06
ESP_10,roof_mounted_pv_CN,0.0
ESP_10,roof_mounted_pv_DE,0.0
ESP_10,roof_mounted_pv_ESP,0.0
ESP_10,roof_mounted_pv_MY,0.0
ESP_10,roof_mounted_pv_NL,0.0
ESP_10,roof_mounted_pv_PT,0.0
ESP_10,wind_onshore_competing_CN,0.00015149755179607894
ESP_10,wind_onshore_competing_DE,0.00016338755843565384
ESP_10,wind_onshore_competing_ESP,9.984022621409965e-07
ESP_10,wind_onshore_competing_FR,0.0001650734034792114
ESP_10,wind_onshore_competing_NDL,0.00016751898331587086
