nodes,techs,area_use
ESP_1,existing_open_field_pv,0.33777
ESP_1,existing_rooftop_pv,0.0041340000000000005
ESP_1,open_field_pv_CN,1.1255321310678671e-07
ESP_1,open_field_pv_DE,4.998690836399177e-07
ESP_1,open_field_pv_ESP,1.187646274092835e-07
ESP_1,open_field_pv_MY,4.380597177187643e-07
ESP_1,open_field_pv_NL,5.669187889381117e-07
ESP_1,open_field_pv_PT,3.0470337105287547e-07
ESP_1,roof_mounted_pv_CN,0.0
ESP_1,roof_mounted_pv_DE,0.0
ESP_1,roof_mounted_pv_ESP,0.0
ESP_1,roof_mounted_pv_MY,0.0
ESP_1,roof_mounted_pv_NL,0.0
ESP_1,roof_mounted_pv_PT,0.0
ESP_1,wind_onshore_competing_CN,0.0002788619005004546
ESP_1,wind_onshore_competing_DE,0.0003441235918366883
ESP_1,wind_onshore_competing_ESP,2.756525839443638e-06
ESP_1,wind_onshore_competing_FR,0.0003552966234000158
ESP_1,wind_onshore_competing_NDL,0.00037387552702826355
ESP_1,wind_onshore_competing_PT,0.00035867482975635777
ESP_10,existing_open_field_pv,8.5189725
ESP_10,existing_rooftop_pv,0.1043676
ESP_10,open_field_pv_CN,1.029494629548584e-07
ESP_10,open_field_pv_DE,2.1611787452730267e-06
ESP_10,open_field_pv_ESP,1.1948586666337342e-07
ESP_10,open_field_pv_MY,1.0985710533419956e-06
ESP_10,open_field_pv_NL,14.256311148620735
ESP_10,open_field_pv_PT,4.456918260842877e-07
ESP_10,roof_mounted_pv_CN,0.0
ESP_10,roof_mounted_pv_DE,0.0
ESP_10,roof_mounted_pv_ESP,0.0
ESP_10,roof_mounted_pv_MY,0.0
ESP_10,roof_mounted_pv_NL,0.0
ESP_10,roof_mounted_pv_PT,0.0
ESP_10,wind_onshore_competing_CN,0.00034905442666353806
ESP_10,wind_onshore_competing_DE,0.00042555287048930227
ESP_10,wind_onshore_competing_ESP,1.9958945381679227e-06
ESP_10,wind_onshore_competing_FR,0.0004385637302706904
